Dia,Tratamiento,Peso_g,Peso_Anterior_g,Ganancia_Peso_g,Peso_Inicial_Promedio_g,Peso_Final_Promedio_g,Conversion_Alimenticia_Global
1,T0R2,1305,755.0,550.0,39.4,3363.45,1.739702283014571
1,T0R2,1820,1305.0,515.0,39.4,3363.45,1.739702283014571
1,T0R2,2590,1820.0,770.0,39.4,3363.45,1.739702283014571
1,T0R2,3345,2590.0,755.0,39.4,3363.45,1.739702283014571
2,T0R2,40,3345.0,-3305.0,39.4,3363.45,1.739702283014571
2,T0R2,110,40.0,70.0,39.4,3363.45,1.739702283014571
2,T0R2,360,110.0,250.0,39.4,3363.45,1.739702283014571
2,T0R2,780,360.0,420.0,39.4,3363.45,1.739702283014571
2,T0R2,1215,780.0,435.0,39.4,3363.45,1.739702283014571
2,T0R2,1780,1215.0,565.0,39.4,3363.45,1.739702283014571
2,T0R2,2380,1780.0,600.0,39.4,3363.45,1.739702283014571
2,T0R2,3385,2380.0,1005.0,39.4,3363.45,1.739702283014571
3,T0R2,40,3385.0,-3345.0,39.4,3363.45,1.739702283014571
3,T0R2,120,40.0,80.0,39.4,3363.45,1.739702283014571
3,T0R2,395,120.0,275.0,39.4,3363.45,1.739702283014571
3,T0R2,750,395.0,355.0,39.4,3363.45,1.739702283014571
3,T0R2,1245,750.0,495.0,39.4,3363.45,1.739702283014571
3,T0R2,1770,1245.0,525.0,39.4,3363.45,1.739702283014571
3,T0R2,2610,1770.0,840.0,39.4,3363.45,1.739702283014571
3,T0R2,3330,2610.0,720.0,39.4,3363.45,1.739702283014571
4,T0R2,40,3330.0,-3290.0,39.4,3363.45,1.739702283014571
4,T0R2,125,40.0,85.0,39.4,3363.45,1.739702283014571
4,T0R2,360,125.0,235.0,39.4,3363.45,1.739702283014571
4,T0R2,840,360.0,480.0,39.4,3363.45,1.739702283014571
4,T0R2,1200,840.0,360.0,39.4,3363.45,1.739702283014571
4,T0R2,1750,1200.0,550.0,39.4,3363.45,1.739702283014571
4,T0R2,2410,1750.0,660.0,39.4,3363.45,1.739702283014571
4,T0R2,3390,2410.0,980.0,39.4,3363.45,1.739702283014571
5,T0R2,40,3390.0,-3350.0,39.4,3363.45,1.739702283014571
5,T0R2,125,40.0,85.0,39.4,3363.45,1.739702283014571
5,T0R2,355,125.0,230.0,39.4,3363.45,1.739702283014571
5,T0R2,76,355.0,-279.0,39.4,3363.45,1.739702283014571
5,T0R2,1295,76.0,1219.0,39.4,3363.45,1.739702283014571
5,T0R2,1700,1295.0,405.0,39.4,3363.45,1.739702283014571
5,T0R2,2340,1700.0,640.0,39.4,3363.45,1.739702283014571
5,T0R2,3395,2340.0,1055.0,39.4,3363.45,1.739702283014571
6,T0R2,40,3395.0,-3355.0,39.4,3363.45,1.739702283014571
6,T0R2,110,40.0,70.0,39.4,3363.45,1.739702283014571
6,T0R2,330,110.0,220.0,39.4,3363.45,1.739702283014571
6,T0R2,700,330.0,370.0,39.4,3363.45,1.739702283014571
6,T0R2,1400,700.0,700.0,39.4,3363.45,1.739702283014571
6,T0R2,1800,1400.0,400.0,39.4,3363.45,1.739702283014571
6,T0R2,2500,1800.0,700.0,39.4,3363.45,1.739702283014571
6,T0R2,3400,2500.0,900.0,39.4,3363.45,1.739702283014571
7,T0R2,40,3400.0,-3360.0,39.4,3363.45,1.739702283014571
7,T0R2,100,40.0,60.0,39.4,3363.45,1.739702283014571
7,T0R2,360,100.0,260.0,39.4,3363.45,1.739702283014571
7,T0R2,725,360.0,365.0,39.4,3363.45,1.739702283014571
7,T0R2,1250,725.0,525.0,39.4,3363.45,1.739702283014571
7,T0R2,1795,1250.0,545.0,39.4,3363.45,1.739702283014571
7,T0R2,2300,1795.0,505.0,39.4,3363.45,1.739702283014571
7,T0R2,3405,2300.0,1105.0,39.4,3363.45,1.739702283014571
8,T0R2,40,3405.0,-3365.0,39.4,3363.45,1.739702283014571
8,T0R2,100,40.0,60.0,39.4,3363.45,1.739702283014571
8,T0R2,340,100.0,240.0,39.4,3363.45,1.739702283014571
8,T0R2,790,340.0,450.0,39.4,3363.45,1.739702283014571
8,T0R2,1265,790.0,475.0,39.4,3363.45,1.739702283014571
8,T0R2,1785,1265.0,520.0,39.4,3363.45,1.739702283014571
8,T0R2,2320,1785.0,535.0,39.4,3363.45,1.739702283014571
8,T0R2,3495,2320.0,1175.0,39.4,3363.45,1.739702283014571
9,T0R2,40,3495.0,-3455.0,39.4,3363.45,1.739702283014571
9,T0R2,130,40.0,90.0,39.4,3363.45,1.739702283014571
9,T0R2,310,130.0,180.0,39.4,3363.45,1.739702283014571
9,T0R2,850,310.0,540.0,39.4,3363.45,1.739702283014571
9,T0R2,1215,850.0,365.0,39.4,3363.45,1.739702283014571
9,T0R2,1805,1215.0,590.0,39.4,3363.45,1.739702283014571
9,T0R2,2310,1805.0,505.0,39.4,3363.45,1.739702283014571
9,T0R2,3395,2310.0,1085.0,39.4,3363.45,1.739702283014571
10,T0R2,35,3395.0,-3360.0,39.4,3363.45,1.739702283014571
10,T0R2,120,35.0,85.0,39.4,3363.45,1.739702283014571
10,T0R2,395,120.0,275.0,39.4,3363.45,1.739702283014571
10,T0R2,790,395.0,395.0,39.4,3363.45,1.739702283014571
10,T0R2,1235,790.0,445.0,39.4,3363.45,1.739702283014571
10,T0R2,1815,1235.0,580.0,39.4,3363.45,1.739702283014571
10,T0R2,2305,1815.0,490.0,39.4,3363.45,1.739702283014571
1,T0R3,40,,,39.4,3363.45,1.739702283014571
1,T0R3,100,40.0,60.0,39.4,3363.45,1.739702283014571
1,T0R3,310,100.0,210.0,39.4,3363.45,1.739702283014571
1,T0R3,730,310.0,420.0,39.4,3363.45,1.739702283014571
1,T0R3,1210,730.0,480.0,39.4,3363.45,1.739702283014571
1,T0R3,1730,1210.0,520.0,39.4,3363.45,1.739702283014571
1,T0R3,2300,1730.0,570.0,39.4,3363.45,1.739702283014571
1,T0R3,3350,2300.0,1050.0,39.4,3363.45,1.739702283014571
2,T0R3,40,3350.0,-3310.0,39.4,3363.45,1.739702283014571
2,T0R3,110,40.0,70.0,39.4,3363.45,1.739702283014571
